source_platform,source_url,date,review_text,product_mentioned,rating,country_language
google_play,https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=1d74481f-f49a-4fdd-b9c3-031b756aa906,2026-08-19T18:00:39,my experience with myntra is mind blowing very nice products at reasonable price n quality is also top notch. I always shop with myntra only I trust it. happy shopping,general,5,IN/en
google_play,https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=a8f6075c-3fd5-4e85-a4b7-c5be00586945,2026-08-19T17:52:05,Best for online shopping 🛍 😌 Using this app for more than 5 years.,general,5,IN/en
google_play,https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=e4bc67c3-8184-4188-95d1-c6f90779024f,2026-08-19T17:50:47,“Absolutely loved these jeans! The fitting is perfect and the fabric feels really comfortable. The quality is also very good and the jeans look exactly like the pictures. The fit is flattering and easy to style with both crop tops and oversized tops. I’ve worn them for long hours and they’re still comfortable. Definitely worth the price and would recommend them! ❤️”,general,5,IN/en
google_play,https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=755d367e-df31-4c45-b2a1-1cfc34a2b0e0,2026-08-19T17:46:45,"I thought in myntra we get only expensive products, but got best deals which was affordable... cheers",general,5,IN/en
google_play,https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=184268a1-b58b-4bcd-9d05-a756b1844eec,2026-08-19T17:44:08,best shopping app,general,5,IN/en
google_play,https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=69e1552a-85aa-4164-964d-6a940b555dbd,2026-08-19T17:42:08,"It's a good app, good clothes in good prize.",general,5,IN/en
google_play,https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=6a70afdd-51e6-4a5d-ab0c-62e4e35ec602,2026-08-19T17:38:33,"Horrible experience with the delivery, my first order still not delivered",general,1,IN/en
google_play,https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=7a4f87b2-291f-4c31-a8a3-2528122ce587,2026-08-19T17:34:40,it's good for shopping 🛍️🛒 and it can be purchaseable because myntra have best quality product and dress also so we can easily buy this and make happy.. if we start for shopping then it can be give a discount on your order and make affordable price their quality it best and also it give free coupons when we finished shopping and then we earn award for it .. I aslo earn mainy rewards and cash price on it so don't waste your time and jont with myntra and start to shopping 🛒🛍️ make your day,general,5,IN/en
google_play,https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=e8603189-e113-45ce-aacd-149c39477be6,2026-08-19T17:32:20,It is a very good app,general,5,IN/en
google_play,https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=a970ecef-548d-4a9c-bb9e-f58f58759980,2026-08-19T17:31:50,nice bag quality is very good 👍🏻,general,5,IN/en
google_play,https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=0616ad44-f124-45c5-9b81-d78f0f81046d,2026-08-19T17:28:36,very nice 💯 and genuine,general,5,IN/en
google_play,https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=4a01baff-2331-42af-812e-39be22c6e18b,2026-08-19T17:28:01,nice 👍🏻 app,general,5,IN/en
google_play,https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=82943dde-4b03-4559-9e9d-02ebf6d3fdec,2026-08-19T17:26:24,Best app for shopping 🛍️,general,5,IN/en
google_play,https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=8c2ad67a-75b4-409a-ba16-e7f5117dccf5,2026-08-19T17:19:22,good product available this site ☺️,general,5,IN/en
google_play,https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=263af95c-0e0c-4c04-b025-afb49be6205d,2026-08-19T17:16:23,very good quality products,general,5,IN/en
google_play,https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=a3dc7b79-c93d-42a5-9fba-aac2155a3997,2026-08-19T17:10:13,Received expired product and after returning it myntra is not giving full refund,general,1,IN/en
google_play,https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=e9817275-4787-451c-bba3-6c093fd8d3cc,2026-08-19T17:04:05,product of myntra are perfect,general,5,IN/en
google_play,https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=ba3d096f-a09b-4942-a5ce-7f83ec6c2c1a,2026-08-19T16:58:48,very nice app,general,5,IN/en
google_play,https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=ad2d6841-69ac-4abb-b01a-02cc26515ff1,2026-08-19T16:42:40,received broken product with no brand tags or price tag on return request their delivery partner just says it could not be quality checked and hence the return is put on hold. told this to their customer care they told me to send photos did the same return was scheduled and the delivery partner did the same. I think I will just have to forget about my money as this problem will persist without any real solution,general,1,IN/en
google_play,https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=b56d6678-c1d5-417c-8a0d-1e75dea5c30d,2026-08-19T16:38:54,it's a pleasure to use😍,general,5,IN/en
google_play,https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=e72041a9-76d2-45c6-b068-0b4ae4fcb033,2026-08-19T16:38:39,"very good app for online shopping, i think best in India , it's items are really good quality, and also good policies of payment returns or exchanges or refund",general,5,IN/en
google_play,https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=1a51f4c9-ba74-4e7b-acd5-604cc9415f51,2026-08-19T16:35:52,very nice service and product,general,5,IN/en
google_play,https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=ddd4ebe1-9f84-4e67-b0e2-c72337cb312b,2026-08-19T16:34:16,I just love love love myntra,general,5,IN/en
google_play,https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=1a632552-fa3d-4a55-b2d8-2130b068c1e8,2026-08-19T16:29:37,Customer support and service at its worst. Wrong products are being sent and there is no quick resolution. The bot always says our agents are always busy,general,1,IN/en
google_play,https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=87c695fe-6a19-4e5b-b688-5e118507cb5b,2026-08-19T16:18:29,Is better than flipkart,general,5,IN/en
google_play,https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=5489d211-20be-4cbc-8203-374343b170d2,2026-08-19T16:18:01,"I have been using Mantra for a few years now. Earlier, I used to order only a few things, but now I keep buying something or the other regularly. So far, everything I have ordered has been really good. Especially since they introduced the cashback and daily rewards options, it has been even more beneficial. I’m really happy with the experience. Thank you, Mantra! ❤️",general,5,IN/en
google_play,https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=fd4b865b-09de-4f33-91cf-6f1caf493766,2026-08-19T16:14:56,excellent products and original brands,general,5,IN/en
google_play,https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=28c242e5-c0eb-45c8-a57a-7c9055ad540e,2026-08-19T16:12:02,nice app for online shopping.... They give what they show..,general,5,IN/en
google_play,https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=127f6dfb-7e7f-4c18-ba62-4c10fda3b8cd,2026-08-19T16:08:13,"PATHETIC APP FOR SHOPPING. MY RETURN IS PENDING SINCE A MONTH ALMOST. RECIEVED ON 5 JUNE. RETURN FILED ON 7 . TODAY IS 28 JUNE . LAST DATE FOR RETURN WAS 19. ITS BEEN OVER 9 DAYS STILL IT SHOWING THEY ARE SAYING """" WE ARE LOOKING INTO YUR RETURN. PLEASE WAIT FOR 24 HOURS"""" JUST A PATHETIC SERVICE. YOU GUYS DONT EVEN DESERVE A SINGLE STAR FROM MY POINT OF YOU.",general,1,IN/en
google_play,https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=b8761c62-fd84-46a1-aa8d-120ee2552963,2026-08-19T16:02:50,very fast and good condition delivery service.,general,5,IN/en
google_play,https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=0e2974c9-0e20-431e-af23-b7542ab3be38,2026-08-19T16:01:10,myntra is trustable app 🤌 I have purchased from myntra and i received orders in well manner and quality of cloth is awesome 👌,general,5,IN/en
google_play,https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=749cc4a9-9ad4-468f-9997-34bab1874f2a,2026-08-19T15:58:09,"best app for clothes, affordable",general,5,IN/en
google_play,https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=0a99d124-0138-4f07-8b46-42aafac1efcd,2026-08-19T15:56:51,mast hai sasta hai,general,5,IN/en
google_play,https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=348aaa42-cb86-4626-8580-8dd3c3ff3f08,2026-08-19T15:55:57,very bad experience... i ordered a product in a offer and myntra haven't delivered that product instead of delivering the product they are only showing delay and delay... very bad app and support system is also worst... i am unable to make chat or call with the agent.... worst application don't purchase any product from myntra,general,1,IN/en
google_play,https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=29861749-996b-49ce-99fd-bce5900cd7d4,2026-08-19T15:55:17,good experience recommended it,general,5,IN/en
google_play,https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=43092993-f826-4793-9327-ff36734cf54d,2026-08-19T15:53:15,best app and myncash back bhi acha deta h 👌👌👌,general,5,IN/en
google_play,https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=a3f0d9ab-495a-425e-8164-c93796cd028c,2026-08-19T15:49:39,"irrespansible app, and its worst it is not business app reson i asking some thing not accepted",general,1,IN/en
google_play,https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=51bfdaed-58f2-4715-8c24-ac48867a7993,2026-08-19T15:49:31,I just love how you don't charge a lot on product,general,5,IN/en
google_play,https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=9d9c737d-c2ce-45ec-89e0-c49057e3f7d2,2026-08-19T15:48:42,super I am happy,general,5,IN/en
google_play,https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=f494544b-4963-4659-858b-2e6db32456e5,2026-08-19T15:48:05,"the worst app i cancelled my order in August and today is August 18th, but I still haven't received my refund. I really didn't expect this from Myntra. When will my amount be refunded",general,1,IN/en
google_play,https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=2364ea40-6f8c-4e4a-8f09-ab1bbad30256,2026-08-19T15:42:00,good product as soon as received 👏👌,general,5,IN/en
